Rank,Freq,Infinitiv,Präsens_ich,Präsens_ich*,Präsens_du,Präsens_du*,"Präsens_er, sie, es",Präteritum_ich,Präteritum_ich*,Partizip II,Partizip II*,Konjunktiv II_ich,Konjunktiv II_ich*,Imperativ Singular,Imperativ Singular*,Imperativ Singular 2,Imperativ Plural,Imperativ Plural*,Hilfsverb,Hilfsverb*,Bild,Bild 1,Bild 2,Bild 3,Bild 4
1,3796784,sein,bin,,bist,,ist,war,,gewesen,,wäre,,sei,,,seid,,sein,,,,,,
2,1618550,haben,habe,,hast,,hat,hatte,,gehabt,,hätte,,habe,hab,,habt,,haben,,,,,,
3,1379496,einen,eine,,einst,,eint,einte,,geeint,,einte,,eine,ein,,eint,,haben,,,,,,
4,948246,werden,werde,,wirst,,wird,wurde,ward,geworden,worden,würde,,werde,,,werdet,,sein,,,,,,
5,713918,können,kann,,kannst,,kann,konnte,,gekonnt,,könnte,,—,,,—,,haben,,,,,,
6,556692,meinen,meine,,meinst,,meint,meinte,,gemeint,,meinte,,meine,,,meint,,haben,,,,,,
7,513384,wollen,will,,willst,,will,wollte,,gewollt,wollen,wollte,,—,,,—,,haben,,,,,,
8,407185,gehen,gehe,,gehst,,geht,ging,,gegangen,,ginge,,geh,gehe,,geht,gehet,sein,,Blender3D NormalWalkCycle.gif|mini|1|Animation einer ''gehenden'' Person,,,,
9,388020,sagen,sage,,sagst,,sagt,sagte,,gesagt,,sagte,,sag,sage,,sagt,,haben,,,,,,
10,384113,sehen,sehe,,siehst,,sieht,sah,,gesehen,sehen,sähe,,siehe,sieh,,seht,,haben,,,,,,
11,376830,machen,mache,,machst,,macht,machte,,gemacht,,machte,,mache,mach,,macht,,haben,,,,,,
12,330438,tun,tue,tu,tust,,tut,tat,,getan,,täte,,tue,tu,,tut,,haben,,,,,,
13,317788,kommen,komme,,kommst,,kommt,kam,,gekommen,,käme,,komm,komme,,kommt,,sein,,,,,,
14,280421,geben,gebe,,gibst,,gibt,gab,,gegeben,,gäbe,,gib,,,gebt,,haben,,,,,,
15,217839,wissen,weiß,,weißt,,weiß,wusste,,gewusst,,wüsste,,wisse,,,wisset,wisst,haben,,,,,,
16,189101,sollen,soll,,sollst,,soll,sollte,,gesollt,sollen,sollte,,—,,,—,,haben,,,,,,
17,181538,denken,denke,,denkst,,denkt,dachte,,gedacht,,dächte,,denk,denke,,denkt,,haben,,,,,,
18,158838,hören,höre,,hörst,,hört,hörte,,gehört,hören,hörte,,hör,höre,,hört,,haben,,His Master's Voice.jpg|mini|1|Er ''hört'' die Stimme seines Herrn.,,,,
19,143704,finden,finde,,findest,,findet,fand,,gefunden,,fände,,finde,,,findet,,haben,,,,,,
20,141488,glauben,glaube,,glaubst,,glaubt,glaubte,,geglaubt,,glaubte,,glaub,glaube,,glaubt,,haben,,,,,,
21,138619,leben,lebe,,lebst,,lebt,lebte,,gelebt,,lebte,,lebe,leb,,lebt,,haben,,,,,,
22,136863,mögen,mag,,magst,,mag,mochte,,gemocht,mögen,möchte,,—,,,—,,haben,,,,,,
23,125268,nehmen,nehme,,nimmst,,nimmt,nahm,,genommen,,nähme,,nimm,,,nehmt,,haben,,,,,,
24,124528,müssen,muss,,musst,,muss,musste,,gemusst,,müsste,,—,,,—,,haben,,,,,,
25,117720,lassen,lasse,,lässt,,lässt,ließ,,gelassen,lassen,ließe,,lass,lasse,,lasst,lasset,haben,,,,,,
26,106835,warten,warte,,wartest,,wartet,wartete,,gewartet,,wartete,,warte,,,wartet,,haben,,,,,,
27,100896,verstehen,verstehe,,verstehst,,versteht,verstand,,verstanden,,verstände,verstünde,verstehe,,,versteht,,haben,,,,,,
28,97391,bringen,bringe,,bringst,,bringt,brachte,,gebracht,,brächte,,bring,bringe,,bringt,,haben,,,,,,
29,91927,sichern,sichere,,sicherst,,sichert,sicherte,,gesichert,,sicherte,,sichere,,,sichert,,haben,,,,,,
30,89964,fragen,frage,,fragst,frägst,fragt,fragte,frug,gefragt,,fragte,früge,frag,frage,,fragt,,haben,,,,,,
31,89813,kennen,kenne,,kennst,,kennt,kannte,,gekannt,,kennte,,kenne,kenn,,kennt,,haben,,,,,,
32,87425,helfen,helfe,,hilfst,,hilft,half,,geholfen,,hülfe,hälfe,hilf,,,helft,,haben,,,,,,
33,87137,reden,rede,,redest,,redet,redete,,geredet,,redete,,red,rede,,redet,,haben,,,,,,
34,85406,stehen,stehe,,stehst,,steht,stand,,gestanden,,stünde,stände,stehe,steh,,steht,,haben,sein,,,,,
35,83919,bleiben,bleibe,,bleibst,,bleibt,blieb,,geblieben,,bliebe,,bleibe,bleib,,bleibt,,sein,,,,,,
36,82184,brauchen,brauche,,brauchst,,braucht,brauchte,,gebraucht,,brauchte,bräuchte,brauche,brauch,,braucht,,haben,,,,,,
37,76116,sprechen,spreche,,sprichst,,spricht,sprach,,gesprochen,,spräche,,sprich,,,sprecht,,haben,,,,,,
38,73100,passieren,passiere,,passierst,,passiert,passierte,,passiert,,passierte,,passiere,passier,,passiert,,haben,sein,,,,,
39,69100,dürfen,darf,,darfst,,darf,durfte,,gedurft,,dürfte,,—,,,—,,haben,,,,,,
40,67816,halten,halte,,hältst,,hält,hielt,,gehalten,,hielte,,halt,halte,,haltet,,haben,,Keller saves PK attempt by Henry.ogv|thumb|10|Der [[Torwart]] hat den [[Elfmeter]] ''gehalten.'',,,,
41,63086,töten,töte,,tötest,,tötet,tötete,,getötet,,tötete,,töte,,,tötet,,haben,,,,,,
42,60962,sterben,sterbe,,stirbst,,stirbt,starb,,gestorben,,stürbe,,stirb,,,sterbt,,sein,,,,,,
43,59107,fahren,fahre,,fährst,,fährt,fuhr,,gefahren,,führe,,fahr,fahre,,fahrt,,sein,haben,,,,,
44,58826,bekommen,bekomme,,bekommst,,bekommt,bekam,,bekommen,,bekäme,,bekomm,bekomme,,bekommt,,haben,sein,,,,,
45,55922,arbeiten,arbeite,,arbeitest,,arbeitet,arbeitete,,gearbeitet,,arbeitete,,arbeite,,,arbeitet,,haben,,,Velden Christkindlmarkt Schmied Demo 16122007 21.jpg|mini|1|der Schmied ''arbeitet'',Street Craftsman in Olinda.jpg|thumb|1|Ein [[Handwerker]] ''arbeitet'' auf der [[Straße]].,Flens Flaschenbefüllung.jpg|mini|2|die Flaschenbefüllung ''arbeitet'' wieder,"16 inch wide oak flooring.jpeg|mini|4|Fugen entstehen, wenn das Holz ''arbeitet''"
46,52188,verdammen,verdamme,,verdammst,,verdammt,verdammte,,verdammt,,verdammte,,verdamm,verdamme,,verdammt,,haben,,,,,,
47,52157,versuchen,versuche,,versuchst,,versucht,versuchte,,versucht,,versuchte,,versuche,,,versucht,,haben,,,,,,
48,50675,erzählen,erzähle,,erzählst,,erzählt,erzählte,,erzählt,,erzählte,,erzähl,erzähle,,erzählt,,haben,,,,,,
49,49877,essen,esse,,isst,,isst,aß,,gegessen,,äße,,iss,,,esst,,haben,,,,,,
50,49016,gleichen,gleiche,,gleichst,,gleicht,glich,,geglichen,,gliche,,gleiche,,,gleicht,,haben,,,,,,
51,46564,laufen,laufe,,läufst,,läuft,lief,,gelaufen,,liefe,,lauf,laufe,,lauft,,sein,haben,,,,,
52,45882,heißen,heiße,,heißt,,heißt,hieß,,geheißen,,hieße,,heiß,heiße,,heißt,,haben,,,,,,
53,45657,spielen,spiele,,spielst,,spielt,spielte,,gespielt,,spielte,,spiel,spiele,,spielt,,haben,,,Duck Duck Goose.jpg|mini|1|[[Kinder]] ''spielen'' auf dem [[Rasen]],US Navy 090620-N-2798F-033 Sailors assigned to the aircraft carrier USS Harry S. Truman (CVN 75) and Carrier Air Wing (CVW) 3 compete in a Texas Hold 'Em Poker tournament aboard Harry S. Truman.jpg|mini|1|[[Poker]] ''spielen'',MHVC-KyokoYonemoto-PaganiniCaprice24.ogv|mini|3| die [[Geigerin]] Kyoko Yonemoto ''spielt'' Niccolò Paganinis Caprice Nr. 24 in A-[[Moll]],Tennis-spielendes-M%C3%A4dchen.jpg|mini|4|Ein [[Mädchen]] ''spielt'' [[Tennis]]
54,45252,stimmen,stimme,,stimmst,,stimmt,stimmte,,gestimmt,,stimmte,,stimm,stimme,,stimmt,,haben,,Pipe organ tuning.ogv|mini|1|''Stimmen'' einer [[Orgel]],,,,
55,44547,verlieren,verliere,,verlierst,,verliert,verlor,,verloren,,verlöre,,verliere,verlier,,verliert,,haben,,,"Blue(s) Cendrillon (14680240346).jpg|thumb|2|„Ups, da habe ich doch [[gerade]] [[mein]]en [[Schuh]] ''verloren.''“",Gambling games.jpg|thumb|3|Man kann im [[Spielkasino]] [[gegen]] die [[Bank]] [[nur]] ''verlieren'',,
56,44101,schnellen,schnelle,,schnellst,,schnellt,schnellte,,geschnellt,,schnellte,,schnell,,,schnellt,,haben,,,,,,
57,43456,scheißen,scheiße,,scheißt,,scheißt,schiss,,geschissen,,schisse,,scheiß,,,scheißt,,haben,,DefecatingSeagull2.jpg|240px|1|eine ''scheißende'' Möwe,,,,
58,42371,suchen,suche,,suchst,,sucht,suchte,,gesucht,,suchte,,suche,such,,sucht,,haben,,,,,,
59,41498,fühlen,fühle,,fühlst,,fühlt,fühlte,,gefühlt,,fühlte,,fühl,fühle,,fühlt,,haben,,,,,,
60,41468,holen,hole,,holst,,holt,holte,,geholt,,holte,,hole,hol,,holt,,haben,,,,,,
61,40933,treffen,treffe,,triffst,,trifft,traf,,getroffen,,träfe,,triff,,,trefft,,haben,,,,,,
62,40506,schaffen,schaffe,,schaffst,,schafft,schuf,,geschaffen,,schüfe,,schaffe,,,schafft,,haben,,,,,,
63,39891,liegen,liege,,liegst,,liegt,lag,,gelegen,,läge,,lieg,liege,,liegt,,haben,sein,,,,,
64,37596,zeigen,zeige,,zeigst,,zeigt,zeigte,,gezeigt,,zeigte,,zeige,zeig,,zeigt,,haben,,"Young Cossack Ivan Kudryavtsev.jpg|thumb|3|Ein [[klein]]er [[Junge]] ''zeigt'' auf etwas (und wir [[wissen]] nicht, worauf).",,,,
65,37295,erinnern,erinnere,,erinnerst,,erinnert,erinnerte,,erinnert,,erinnerte,,erinnere,,,erinnert,,haben,,,,,,
66,36112,danken,danke,,dankst,,dankt,dankte,,gedankt,,dankte,,dank,danke,,dankt,,haben,,,,,,
67,35185,stunden,stunde,,stundest,,stundet,stundete,,gestundet,,stundete,,stunde,,,stundet,,haben,,,,,,
68,35036,entschuldigen,entschuldige,,entschuldigst,,entschuldigt,entschuldigte,,entschuldigt,,entschuldigte,,entschuldige,,,entschuldigt,,haben,,,,,,
69,34498,schlafen,schlafe,,schläfst,,schläft,schlief,,geschlafen,,schliefe,,schlaf,schlafe,,schlaft,,haben,,,"Anker Schlafender Knabe im Heu.jpg|thumb|1a|[[Gemälde]] von einem [[Junge]]n, der im Heu ''schläft.''",Sleeping wire-haired Dachshund.jpg|thumb|1a|Ein [[Rauhaardackel]] ''schläft'' in der [[Sonne]].,Lateral sex.jpg|thumb|3a|[[Mann]] und [[Frau]] ''schlafen'' [[miteinander]].,
70,34229,fallen,falle,,fällst,,fällt,fiel,,gefallen,,fiele,,falle,fall,,fallt,,sein,,,,,,
71,34218,verschwinden,verschwinde,,verschwindest,,verschwindet,verschwand,,verschwunden,,verschwände,,verschwinde,,,verschwindet,,sein,,,,,,
72,34160,vergessen,vergesse,,vergisst,,vergisst,vergaß,,vergessen,,vergäße,,vergiss,,,vergesst,,haben,,,,,,
73,33762,fertigen,fertige,,fertigst,,fertigt,fertigte,,gefertigt,,fertigte,,fertig,fertige,,fertigt,,haben,,,,,,
74,33522,nennen,nenne,,nennst,,nennt,nannte,,genannt,,nennte,,nenn,nenne,,nennt,,haben,,,,,,
75,32911,wahren,wahre,,wahrst,,wahrt,wahrte,,gewahrt,,wahrte,,wahre,,,wahrt,,haben,,,,,,
76,32609,lieben,liebe,,liebst,,liebt,liebte,,geliebt,,liebte,,liebe,,,liebt,,haben,,,,,,
77,32482,stellen,stelle,,stellst,,stellt,stellte,,gestellt,,stellte,,stelle,,,stellt,,haben,,,,,,
78,31893,ziehen,ziehe,,ziehst,,zieht,zog,,gezogen,,zöge,,ziehe,zieh,,zieht,,haben,sein,,,,,
79,31831,kriegen,kriege,,kriegst,,kriegt,kriegte,,gekriegt,,kriegte,,kriege,krieg,,kriegt,,haben,,,,,,
80,30237,verrücken,verrücke,,verrückst,,verrückt,verrückte,,verrückt,,verrückte,,verrück,verrücke,,verrückt,,haben,,,,,,
81,30083,trinken,trinke,,trinkst,,trinkt,trank,,getrunken,,tränke,,trink,trinke,,trinkt,,haben,,,Boy_drinks_from_a_tap_at_a_NEWAH_WASH_water_project_%2810677785345%29.jpg|mini|1| ein [[durstig]]er Junge [[schlürfen|schlürft]] aus der Hand und ''trinkt'' so das [[Wasser]],Sipahh_-_girl.jpg|mini|1|durch [[Saugen]] am [[Strohhalm]] ''trinkt'' das Mädchen die [[Milch]] im [[Glas]],Oktoberfest woman.jpg|thumb|1|eine [[Frau]] ''trinkt'' aus einem [[Bierglas]] / [2] ''trinkt'' [[Bier]] beim [[Oktoberfest]],
82,29811,hoffen,hoffe,,hoffst,,hofft,hoffte,,gehofft,,hoffte,,hoff,hoffe,,hofft,,haben,,,,,,
83,29407,schreiben,schreibe,,schreibst,,schreibt,schrieb,,geschrieben,,schriebe,,schreibe,schreib,,schreibt,,haben,,,"M. Klein's hands, writing. Wellcome L0018664.jpg|mini|1|etwas von [[Hand]] ''schreiben''",Backlit keyboard.jpg|mini|5|etwas auf einer [[Tastatur]] ''schreiben'',,
84,28893,bereiten,bereite,,bereitest,,bereitet,bereitete,,bereitet,,bereitete,,bereite,,,bereitet,,haben,,,,,,
85,28607,setzen,setze,,setzt,setzest,setzt,setzte,,gesetzt,,setzte,,setze,setz,,setzt,,haben,,,,,,
86,28308,bedeuten,bedeute,,bedeutest,,bedeutet,bedeutete,,bedeutet,,bedeutete,,bedeute,,,bedeutet,,haben,,,,,,
87,28107,rufen,rufe,,rufst,,ruft,rief,,gerufen,,riefe,,rufe,ruf,,ruft,,haben,,,,,,
88,27633,lesen,lese,,liest,,liest,las,,gelesen,,läse,,lies,,,lest,,haben,,,,,,
89,27615,lernen,lerne,,lernst,,lernt,lernte,,gelernt,,lernte,,lerne,,,lernt,,haben,,"A Family Place Library (14071427991).jpg|thumb|1|Hier ''lernen'' [[Kind]]er, wie eine [[Bücherei]] [[funktionieren|funktioniert]].",,,,
90,27578,retten,rette,,rettest,,rettet,rettete,,gerettet,,rettete,,rette,,,rettet,,haben,,,,,,
91,27500,sorgen,sorge,,sorgst,,sorgt,sorgte,,gesorgt,,sorgte,,sorg,sorge,,sorgt,,haben,,,,,,
92,26605,sitzen,sitze,,sitzt,,sitzt,saß,,gesessen,,säße,,sitz,,,sitzt,,haben,sein,,RepinPaintersDaughter.jpg|thumb|1|auf einem [[Balken]] ''sitzendes'' [[Mädchen]],Schneider Waldsee Kornhausmuseum.jpg|thumb|1|''Sitzen'' im Schneidersitz,"Daniel_D._Pratt,_Brady-Handy_photo_portrait,_sitting.jpg|thumb|4, 1|schlecht ''sitzende'' Weste [[tragen|getragen]] von einem [[Mann]], der mit übereinander geschlagenen [[Bein]]en auf einem [[Stuhl]] ''sitzt''",
93,26367,tragen,trage,,trägst,,trägt,trug,,getragen,,trüge,,trag,trage,,tragt,,haben,,,,,,
94,26222,scheinen,scheine,,scheinst,,scheint,schien,,geschienen,,schiene,,scheine,schein,,scheint,scheinet,haben,,,,,,
95,26085,verlassen,verlasse,,verlässt,,verlässt,verließ,,verlassen,,verließe,,verlasse,,,verlasst,,haben,,,,,,
96,25438,ruhen,ruhe,,ruhst,,ruht,ruhte,,geruht,,ruhte,,ruh,,,ruht,,haben,,,,,,
97,25371,kümmern,kümmere,,kümmerst,,kümmert,kümmerte,,gekümmert,,kümmerte,,kümmere,,,kümmert,,haben,,,,,,
98,24963,versprechen,verspreche,,versprichst,,verspricht,versprach,,versprochen,,verspräche,,versprich,,,versprecht,,haben,,,,,,
99,24807,reichen,reiche,,reichst,,reicht,reichte,,gereicht,,reichte,,reiche,,,reicht,,haben,,Berlin marathon kilometer 34 Tauentzien 25.09.2011 11-31-07.jpg|thumb|1|Beim [[Marathon]] ''reichen'' [[Helfer]] den [[Läufer]]n [[Wasser]].,,,,
100,24521,anrufen,rufe an,,rufst an,,ruft an,rief an,,angerufen,,riefe an,,ruf an,,,ruft an,,haben,,,,,,
101,24252,bestimmen,bestimme,,bestimmst,,bestimmt,bestimmte,,bestimmt,,bestimmte,,bestimme,,,bestimmt,,haben,,,,,,
102,23724,langen,lange,,langst,,langt,langte,,gelangt,,langte,,lange,lang,,langt,,haben,,,,,,
103,23694,umbringen,bringe um,,bringst um,,bringt um,brachte um,,umgebracht,,brächte um,,bring um,,,bringt um,,haben,,,,,,
104,23432,tollen,tolle,,tollst,,tollt,tollte,,getollt,,tollte,,toll,tolle,,tollt,,haben,sein,,,,,
105,23236,fangen,fange,,fängst,,fängt,fing,,gefangen,,finge,,fang,fange,,fangt,,haben,,,In Search of the San 07.jpg|thumb|3|Ein Kind ''fängt'' einen Ball,,,
106,22577,kaufen,kaufe,,kaufst,,kauft,kaufte,,gekauft,,kaufte,,kauf,,,kauft,,haben,,20161122-bournville-labour-small-business-saturday-2016-9.jpg|mini|1|eine Kundin ''kauft'' in einem kleinen Laden,,,,
107,22415,wagen,wage,,wagst,,wagt,wagte,,gewagt,,wagte,,wage,,,wagt,,haben,,BASE Jumping from Sapphire Tower in Istanbul.jpg|mini|1|Ein Extremsportler ''wagt'' einen Sprung von einem Turm in [[Istanbul]],,,,
108,22027,altern,altere,,alterst,,altert,alterte,,gealtert,,alterte,,altere,,,altert,,sein,,,,,,
109,21815,erwarten,erwarte,,erwartest,,erwartet,erwartete,,erwartet,,erwartete,,erwarte,,,erwartet,,haben,,,,,,
110,21634,folgen,folge,,folgst,,folgt,folgte,,gefolgt,,folgte,,folge,folg,,folgt,,sein,haben,,,,,
111,21606,schauen,schaue,schau,schaust,,schaut,schaute,,geschaut,,schaute,,schaue,schau,,schaut,,haben,,,,,,
112,21507,heiraten,heirate,,heiratest,,heiratet,heiratete,,geheiratet,,heiratete,,heirate,,,heiratet,,haben,,,Flodmark-Ehrs Marriage 2016 crop.jpg|thumb|1|Sie haben gerade [[standesamtlich]] ''geheiratet.'',"Russian church wedding in Toronto,Canada.jpg|thumb|1|Sie ''heiraten'' gerade [[kirchlich]].",,
113,21292,lachen,lache,,lachst,,lacht,lachte,,gelacht,,lachte,,lache,lach,,lacht,,haben,,"A man Laughing.gif|mini|1|Ein Mann, der ''lacht''",,Lachen Mix MM.ogg|mini|1|Eine Frau ''lacht'',,
114,21153,schlagen,schlage,,schlägst,,schlägt,schlug,,geschlagen,,schlüge,,schlag,schlage,,schlagt,,haben,,,,,,
115,21086,gefallen,gefalle,,gefällst,,gefällt,gefiel,,gefallen,,gefiele,,gefalle,gefall,,gefallt,,haben,,,,,,
116,20824,bezahlen,bezahle,,bezahlst,,bezahlt,bezahlte,,bezahlt,,bezahlte,,bezahle,,,bezahlt,,haben,,,,,,
117,20656,stecken,stecke,,steckst,,steckt,steckte,stak,gesteckt,,steckte,stäke,steck,,,steckt,,haben,,,,,,
118,20645,gewinnen,gewinne,,gewinnst,,gewinnt,gewann,,gewonnen,,gewönne,gewänne,gewinn,,,gewinnt,,haben,,,Keion Bain.jpg|thumb|2|Er hat einen [[Boxkampf]] ''gewonnen.'',Stage_3_Fabian_Cancellara_is_the_early_hero_of_the_2007_Tour_de_France.jpg|thumb|2|Der [[Mann]] in [[gelb]] ''gewinnt'' eine [[Etappe]] bei der [[Tour de France]].,,
119,20421,lügen,lüge,,lügst,,lügt,log,,gelogen,,löge,,lüg,,,lügt,,haben,,,,,,
120,20386,klingen,klinge,,klingst,,klingt,klang,,geklungen,,klänge,,klinge,kling,,klingt,,haben,,,,,,
121,20284,vertrauen,vertraue,,vertraust,,vertraut,vertraute,,vertraut,,vertraute,,vertrau,vertraue,,vertraut,vertrauet,haben,,,,,,
122,19730,ändern,ändere,,änderst,,ändert,änderte,,geändert,,änderte,,ändere,,,ändert,,haben,,,,,,
123,19475,benutzen,benutze,,benutzt,,benutzt,benutzte,,benutzt,,benutzte,,benutze,benutz,,benutzt,,haben,,,,,,
124,19398,schicken,schicke,,schickst,,schickt,schickte,,geschickt,,schickte,,schick,,,schickt,,haben,,,,,,
125,19077,erklären,erkläre,,erklärst,,erklärt,erklärte,,erklärt,,erklärte,,erkläre,erklär,,erklärt,,haben,,,,,,
126,19038,legen,lege,,legst,,legt,legte,,gelegt,,legte,,lege,leg,,legt,,haben,,,,,,
127,18800,wiedersehen,sehe wieder,,siehst wieder,,sieht wieder,sah wieder,,wiedergesehen,,sähe wieder,,sieh wieder,siehe wieder,,seht wieder,,haben,,,,,,
128,18732,aufhören,höre auf,,hörst auf,,hört auf,hörte auf,,aufgehört,,hörte auf,,hör auf,höre auf,,hört auf,,haben,,,,,,
129,18714,anfangen,fange an,,fängst an,,fängt an,fing an,,angefangen,,finge an,,fang an,fange an,,fangt an,,haben,,,,,,
130,18226,beginnen,beginne,,beginnst,,beginnt,begann,,begonnen,,begönne,begänne,beginn,beginne,,beginnt,,haben,,,,,,
131,18187,verdienen,verdiene,,verdienst,,verdient,verdiente,,verdient,,verdiente,,verdiene,,,verdient,,haben,,,,,,
132,18180,freuen,freue,,freust,,freut,freute,,gefreut,,freute,,freu,,,freut,,haben,,,,,,
133,18153,wohnen,wohne,,wohnst,,wohnt,wohnte,,gewohnt,,wohnte,,wohne,wohn,,wohnt,,haben,,385 PEMA.jpg|210px|1|Menschen ''wohnen'' oft sehr unterschiedlich,,,,
134,17796,fliegen,fliege,,fliegst,,fliegt,flog,,geflogen,,flöge,,flieg,fliege,,fliegt,,sein,haben,,,,,
135,17565,geschehen,—,,—,,geschieht,geschah,,geschehen,,geschähe,,—,,,—,,sein,,,,,,
136,17508,gedenken,gedenke,gedenk,gedenkst,,gedenkt,gedachte,,gedacht,,gedächte,,gedenk,gedenke,,gedenkt,,haben,,,,,,
137,17438,funktionieren,funktioniere,,funktionierst,,funktioniert,funktionierte,,funktioniert,,funktionierte,,funktioniere,funktionier,,funktioniert,,haben,,,"Fotothek df n-20 0000142 Zerspannungsfacharbeiter.jpg|thumb|1|eine [[Maschine]], die ''funktioniert''","FHM-Orchestra-mk2006-02.jpg|thumb|1|ein [[Orchester]] ''funktioniert'', wenn [[alle]] [[zusammenspielen]]",,
138,17146,verkaufen,verkaufe,,verkaufst,,verkauft,verkaufte,,verkauft,,verkaufte,,verkauf,verkaufe,,verkauft,,haben,,,,,,
139,16842,schießen,schieße,,schießt,,schießt,schoss,,geschossen,,schösse,,schieß,,,schießt,,haben,sein,,,,,
140,16810,dauern,dauere,,dauerst,,dauert,dauerte,,gedauert,,dauerte,,dauere,,,dauert,,haben,,,,,,
141,16800,kämpfen,kämpfe,,kämpfst,,kämpft,kämpfte,,gekämpft,,kämpfte,,kämpf,kämpfe,,kämpft,,haben,,Aulalassance.jpg|mini|1|''kämpfende'' Tai-Chi-Chuan-Kämpfer,,,,
142,16674,wünschen,wünsche,,wünschst,wünscht,wünscht,wünschte,,gewünscht,,wünschte,,wünsche,,,wünscht,,haben,,,,,,
143,16639,werfen,werfe,,wirfst,,wirft,warf,,geworfen,,würfe,,wirf,,,werft,,haben,,,"Bundesarchiv Bild 183-1984-0520-017, Petra Felke.jpg|mini|1|sie ''wirft'' den Speer",Kittens 120720081883.jpg|mini|2|die Katze ''hat geworfen'',,
144,16022,aussehen,sehe aus,,siehst aus,,sieht aus,sah aus,,ausgesehen,,sähe aus,,sieh aus,siehe aus,,seht aus,,haben,,,,,,
145,15933,führen,führe,,führst,,führt,führte,,geführt,,führte,,führe,,,führt,,haben,,,,,,
146,15874,öffnen,öffne,,öffnest,,öffnet,öffnete,,geöffnet,,öffnete,,öffne,,,öffnet,,haben,,,,,,
147,15571,interessieren,interessiere,,interessierst,,interessiert,interessierte,,interessiert,,interessierte,,interessiere,interessier,,interessiert,,haben,,,,,,
148,15314,brechen,breche,,brichst,,bricht,brach,,gebrochen,,bräche,,brich,,,brecht,,haben,sein,,Boelge stor.jpg|thumb|2|Der [[Kamm]] einer [[Welle]] ''bricht.'',Oktoberfest 2011 007 vomit drunken female.jpg|thumb|9|Eine [[Betrunkene]] des [[München]]er [[Oktoberfest]]es muss ''brechen.'',,
149,15263,verletzen,verletze,,verletzt,,verletzt,verletzte,,verletzt,,verletzte,,verletze,,,verletzt,,haben,,,,,,
150,15200,bitten,bitte,,bittest,,bittet,bat,,gebeten,,bäte,,bitte,,,bittet,,haben,,,,,,
151,15081,verstecken,verstecke,,versteckst,,versteckt,versteckte,,versteckt,,versteckte,,verstecke,,,versteckt,,haben,,,,,,
152,14941,erledigen,erledige,,erledigst,,erledigt,erledigte,,erledigt,,erledigte,,erledig,erledige,,erledigt,,haben,,,,,,
153,14747,sondern,sondere,,sonderst,,sondert,sonderte,,gesondert,,sonderte,,sondere,,,sondert,,haben,,,,,,
154,14573,erfahren,erfahre,,erfährst,,erfährt,erfuhr,,erfahren,,erführe,,erfahr,erfahre,,erfahrt,,haben,,,,,,
155,14572,vorstellen,stelle vor,,stellst vor,,stellt vor,stellte vor,,vorgestellt,,stellte vor,,stell vor,stelle vor,,stellt vor,,haben,,,,,,
156,14522,singen,singe,,singst,,singt,sang,,gesungen,,sänge,,singe,,,singt,,haben,,Zespół Pieśni i Tańca &quot;Śląsk&quot; Mikołów 07.jpg|280px|1|''singende'' Frauen,,,,
157,14356,klappen,klappe,,klappst,,klappt,klappte,,geklappt,,klappte,,klappe,,,klappt,,haben,,,USMC ETool.jpg|thumb|1|Einen [[Klappspaten]] kann man auf- und zu''klappen'',Faltbehaelter01.jpg|thumb|1|Eine [[Klappbox]] [[müssen|muss]] vor dem [[benutzen|Benutzen]] auf''geklappt'' werden.,A-6E Intruder aboard USS Midway with wings folded.jpg|thumb|1|Diese [[Flügel]] wurden ein''geklappt.'',
158,14299,entscheiden,entscheide,,entscheidest,,entscheidet,entschied,,entschieden,,entschiede,,entscheide,,,entscheidet,,haben,,,,,,
159,14181,stehlen,stehle,,stiehlst,,stiehlt,stahl,,gestohlen,,stähle,stöhle,stiehl,,,stehlt,,haben,,,,,,
160,13960,zahlen,zahle,,zahlst,,zahlt,zahlte,,gezahlt,,zahlte,,zahle,zahl,,zahlt,,haben,,,,,,
161,13591,schließen,schließe,,schließt,,schließt,schloss,,geschlossen,,schlösse,,schließe,schließ,,schließt,,haben,,,,,,
162,13378,bewegen,bewege,,bewegst,,bewegt,bewegte,,bewegt,,bewegte,,bewege,beweg,,bewegt,,haben,,,,,,
163,13365,zerstören,zerstöre,,zerstörst,,zerstört,zerstörte,,zerstört,,zerstörte,,zerstöre,,,zerstört,,haben,,,,,,
164,13318,ehren,ehre,,ehrst,,ehrt,ehrte,,geehrt,,ehrte,,ehre,,,ehrt,,haben,,,,,,
165,13220,ansehen,sehe an,,siehst an,,sieht an,sah an,,angesehen,,sähe an,,sieh an,,,seht an,,haben,,,,,,
166,13183,behalten,behalte,,behältst,,behält,behielt,,behalten,,behielte,,behalte,,,behaltet,,haben,,,,,,
167,13175,besorgen,besorge,,besorgst,,besorgt,besorgte,,besorgt,,besorgte,,besorge,besorg,,besorgt,,haben,,,,,,
168,13137,erkennen,erkenne,,erkennst,,erkennt,erkannte,,erkannt,,erkennte,,erkenn,erkenne,,erkennt,,haben,,,,,,
169,12749,hängen,hänge,,hängst,,hängt,hängte,,gehängt,,hängte,,hänge,häng,,hängt,,haben,,,,,,
170,12726,fehlen,fehle,,fehlst,,fehlt,fehlte,,gefehlt,,fehlte,,fehle,,,fehlt,,haben,,,,,,
